category,question,answer
scholarship,What is the last date to apply for scholarships at Greenfield Institute of Technology?,The scholarship application deadline at Greenfield Institute of Technology is March 15 every academic year. Late applications are not accepted. Visit the Finance/Bursary office for the application form.
scholarship,How much scholarship amount can I receive?,"Merit-based scholarships at Greenfield Institute of Technology cover up to ₹80,000 per year. Need-based grants are assessed separately based on family income. Contact Finance & Accounts for details."
scholarship,What documents are required for the scholarship application?,"You need: (1) Income certificate, (2) Previous semester marksheet, (3) Bank passbook copy, (4) Aadhaar/ID proof, (5) Bonafide certificate. Submit to Finance & Accounts."
attendance,What is the minimum attendance required to appear in exams?,Students must maintain a minimum of 75% attendance in each subject to be eligible for end-semester examinations at Greenfield Institute of Technology.
attendance,Can I get attendance exemption for medical reasons?,Yes. Submit a medical certificate from a registered physician to Student Affairs within 7 days of rejoining. Maximum 10% attendance relaxation is granted upon approval.
attendance,Where can I check my attendance percentage?,"Log in to the Greenfield Institute of Technology student portal at portal.greenfield.edu.in and navigate to 'My Attendance'. For discrepancies, contact your department coordinator in Computer Science & Engineering."
exams,What is the fee for exam revaluation?,The revaluation fee at Greenfield Institute of Technology is ₹500 per subject. Apply within 15 days of result declaration via the Examination Cell portal.
exams,By when must I pay the examination fee?,Examination fees must be paid by the 15th of the exam month. Payments after this date attract a late fine of ₹200. Contact Examination Cell for payment modes.
exams,What happens if I fail in a subject?,Failed students can appear in supplementary exams held within 60 days of the main result. Register through Examination Cell. A maximum of two backlogs are permitted in the same semester.
exams,How do I get my grade sheet or transcript?,Official transcripts can be requested from Examination Cell by submitting a written application with a fee of ₹250 per copy. Processing takes 5–7 working days.
hostel,What is the hostel curfew time?,The hostel gate closes at 10:00 PM on weekdays and 11:00 PM on weekends. Late entry must be pre-approved by the Hostel Administration warden.
hostel,How do I apply for hostel accommodation?,Hostel allotment forms are available at Hostel Administration and on the student portal. Allotment is based on merit and distance from campus. Apply before June 30 for the upcoming academic year.
hostel,Is Wi-Fi available in the hostel?,Yes. Greenfield Institute of Technology provides 24×7 Wi-Fi in all hostel blocks with a 50 Mbps shared connection. Credentials are issued with your hostel allotment letter.
fees,What is the late fee penalty for paying tuition after the due date?,"Greenfield Institute of Technology allows a grace period of 5 days after the due date without penalty. After that, a fine of ₹100 per day is levied. Pay at Finance & Accounts."
fees,Can I pay tuition fees in instalments?,Yes. Greenfield Institute of Technology offers a two-instalment plan: 60% due at the start of the semester and 40% by the midpoint. Submit an instalment request to Finance & Accounts before the fee due date.
fees,How do I get a fee receipt or payment acknowledgment?,"Receipts are auto-generated on the student portal after online payment. For cash payments, collect the stamped receipt from Finance & Accounts. Duplicate receipts cost ₹50."
library,How many books can I borrow from the library?,Undergraduate students may borrow up to 4 books for 14 days. Postgraduate students may borrow 6 books for 21 days. Late returns attract ₹5 per day fine. Contact Library.
library,Does the library provide access to online journals?,"Yes. Greenfield Institute of Technology's Library provides access to JSTOR, IEEE Xplore, Elsevier ScienceDirect, and Springer via the student portal. Use your university credentials to log in."
placement,When does the campus placement season begin?,The placement season at Greenfield Institute of Technology begins in October for final-year students. Pre-placement talks start in September. Register with Career Services before August 31.
placement,What is the eligibility criteria for sitting in placement drives?,"Students must have a minimum CGPA of 6.0, no active backlogs, and 75% attendance. Register on the Career Services portal at least 2 weeks before a drive."
